| n |.9|.95|.99
|1  |0.950 |0.975 |0.995
|2  |0.776 |0.842 |0.929
|3  |0.636 |0.708 |0.829
|4  |0.565 |0.624 |0.734
|5  |0.510 |0.563 |0.669
|6  |0.468 |0.520 |0.617
|7  |0.436 |0.483 |0.576
|8  |0.410 |0.454 |0.542
|9  |0.387 |0.430 |0.513
|10 |0.369 |0.409 |0.489
|11 |0.352 |0.391 |0.468
|12 |0.338 |0.375 |0.450
|13 |0.325 |0.361 |0.432
|14 |0.314 |0.349 |0.418
|15 |0.304 |0.338 |0.404
|16 |0.295 |0.327 |0.392
|17 |0.286 |0.318 |0.381
|18 |0.279 |0.309 |0.371
|19 |0.271 |0.301 |0.361
|20 |0.265 |0.294 |0.352
|21 |0.259 |0.287 |0.344
|22 |0.253 |0.281 |0.337
|23 |0.247 |0.275 |0.330
|24 |0.242 |0.269 |0.323
|25 |0.238 |0.264 |0.317
|26 |0.233 |0.259 |0.311
|27 |0.229 |0.254 |0.305
|28 |0.225 |0.250 |0.300
|29 |0.221 |0.246 |0.295
|30 |0.218 |0.242 |0.290
|31 |0.214 |0.238 |0.285
|32 |0.211 |0.234 |0.281
|33 |0.208 |0.231 |0.277
|34 |0.205 |0.227 |0.273
|35 |0.202 |0.224 |0.269
